Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Curtailed
10-09 07:00,830.692,825.5009037319489,825.5009037319489,False
10-09 08:00,677.131,850.537,850.537,False
10-09 09:00,830.692,832.19828401487,832.19828401487,False
10-09 10:00,830.692,833.5771097590997,833.5771097590997,False
10-09 11:00,633.703,850.537,850.537,False
10-09 12:00,830.692,850.537,850.537,False
10-09 13:00,551.194,850.5369999999999,850.5369999999999,False
10-09 14:00,830.692,850.5370000000001,850.5370000000001,False
10-09 15:00,506.68,850.537,850.537,False
10-09 16:00,830.692,850.537,850.537,False
10-09 17:00,830.692,832.1888088887482,832.1888088887482,False
10-09 18:00,830.692,850.537,850.537,False
10-09 19:00,830.692,850.537,850.537,False
10-09 20:00,830.692,815.4534271385102,815.4534271385102,False
10-09 21:00,830.692,811.833455950856,811.833455950856,False
10-09 22:00,830.692,805.8243743444191,805.8243743444191,False
10-09 23:00,830.692,804.728272619084,804.728272619084,False
10-10 00:00,830.692,805.1400370487344,805.1400370487344,False
10-10 01:00,830.692,850.537,850.537,False
10-10 02:00,830.692,804.6963133699076,804.6963133699076,False
10-10 03:00,830.692,799.478537661815,799.478537661815,False
10-10 04:00,830.692,802.0218163252033,802.0218163252033,False
10-10 05:00,830.692,803.1833982208007,803.1833982208007,False
10-10 06:00,830.692,0.0,0.0,False
10-10 07:00,830.692,0.0,0.0,False
10-10 08:00,830.692,0.0,0.0,False
10-10 09:00,830.692,825.8111520006486,825.8111520006486,False
10-10 10:00,830.692,850.537,850.537,False
10-10 11:00,830.686,826.2324337355197,826.2324337355197,False
10-10 12:00,614.647,850.537,850.537,False
10-10 13:00,499.228,0.0,0.0,False
10-10 14:00,627.828,850.5369999999999,850.5369999999999,False
10-10 15:00,640.902,850.537,850.537,False
10-10 16:00,830.564,850.5369999999999,850.5369999999999,False
10-10 17:00,830.692,850.537,850.537,False
10-10 18:00,830.64,850.537,850.537,False
10-10 19:00,830.692,813.3681521103658,813.3681521103658,False
10-10 20:00,825.925,808.2055469588408,808.2055469588408,False
10-10 21:00,691.978,808.7211072330263,808.7211072330263,False
10-10 22:00,613.619,803.528648881782,803.528648881782,False
10-10 23:00,460.748,803.5987318525304,803.5987318525304,False
10-11 00:00,357.305,808.3743250036912,808.3743250036912,False
10-11 01:00,298.381,811.1786000837131,811.1786000837131,False
10-11 02:00,184.256,817.7091199872258,817.7091199872258,False
10-11 03:00,230.612,823.3335128606575,823.3335128606575,False
10-11 04:00,211.02,824.047439271384,824.047439271384,False
10-11 05:00,134.774,826.7221193988946,826.7221193988946,False
10-11 06:00,119.484,850.537,850.537,False
10-11 07:00,82.286,850.537,850.537,False
10-11 08:00,105.486,850.5370000000001,850.5370000000001,False
10-11 09:00,63.2689,850.537,850.537,False
10-11 10:00,29.8481,850.537,850.537,False
10-11 11:00,37.355199999999996,850.537,850.537,False
10-11 12:00,31.694,850.537,850.537,False
10-11 13:00,82.5499,850.537,850.537,False
10-11 14:00,27.255200000000002,850.537,850.537,False
10-11 15:00,45.221599999999995,850.537,850.537,False
10-11 16:00,56.6129,850.537,850.537,False
10-11 17:00,45.316300000000005,850.537,850.537,False
10-11 18:00,103.953,850.537,850.537,False
10-11 19:00,272.897,850.537,850.537,False
10-11 20:00,108.725,850.537,850.537,False
10-11 21:00,113.805,830.2919075695762,830.2919075695762,False
10-11 22:00,73.8983,831.7812178146338,831.7812178146338,False
10-11 23:00,52.3026,831.422267560956,831.422267560956,False
10-12 00:00,105.431,850.537,850.537,False
10-12 01:00,133.078,850.537,850.537,False
10-12 02:00,251.802,850.537,850.537,False
10-12 03:00,520.916,850.537,850.537,False
10-12 04:00,755.11,850.5370000000001,850.5370000000001,False
10-12 05:00,416.912,850.537,850.537,False
10-12 06:00,522.058,850.537,850.537,False
10-12 07:00,440.522,850.537,850.537,False
10-12 08:00,284.987,850.537,850.537,False
10-12 09:00,407.378,850.537,850.537,False
10-12 10:00,466.284,850.537,850.537,False
10-12 11:00,194.912,850.5369999999999,850.5369999999999,False
10-12 12:00,140.392,850.537,850.537,False
10-12 13:00,209.547,850.5370000000001,850.5370000000001,False
10-12 14:00,161.361,850.537,850.537,False
10-12 15:00,167.895,850.537,850.537,False
10-12 16:00,164.161,850.537,850.537,False
10-12 17:00,115.15,850.537,850.537,False
10-12 18:00,85.9562,850.537,850.537,False
10-12 19:00,238.112,850.537,850.537,False
10-12 20:00,241.34,842.9099276484349,842.9099276484349,False
10-12 21:00,152.931,842.0335525185611,842.0335525185611,False
10-12 22:00,166.223,850.5369999999999,850.5369999999999,False
10-12 23:00,360.921,850.5370000000001,850.5370000000001,False
10-13 00:00,465.078,0.0,0.0,False
10-13 01:00,319.161,850.537,850.537,False
10-13 02:00,448.735,850.537,850.537,False
10-13 03:00,554.36,850.537,850.537,False
10-13 04:00,347.496,850.537,850.537,False
10-13 05:00,352.107,850.5369999999999,850.5369999999999,False
10-13 06:00,284.529,850.537,850.537,False
10-13 07:00,220.469,850.537,850.537,False
10-13 08:00,162.99,850.537,850.537,False
10-13 09:00,111.713,850.537,850.537,False
10-13 10:00,100.994,850.537,850.537,False
10-13 11:00,162.505,850.537,850.537,False
10-13 12:00,304.048,850.537,850.537,False
10-13 13:00,260.185,850.537,850.537,False
10-13 14:00,138.992,850.537,850.537,False
10-13 15:00,263.183,850.537,850.537,False
10-13 16:00,181.607,850.537,850.537,False
10-13 17:00,501.803,0.0,0.0,False
10-13 18:00,571.354,850.537,850.537,False
10-13 19:00,518.006,837.6246154726006,837.6246154726006,False
10-13 20:00,423.14,837.2118250990931,837.2118250990931,False
10-13 21:00,285.557,837.5921820158387,837.5921820158387,False
10-13 22:00,208.778,850.537,850.537,False
10-13 23:00,324.683,850.537,850.537,False
10-14 00:00,499.86,850.537,850.537,False
10-14 01:00,534.998,816.1045109960553,816.1045109960553,False
10-14 02:00,624.366,816.6313900889164,816.6313900889164,False
10-14 03:00,426.332,809.2083006186097,809.2083006186097,False
10-14 04:00,433.023,804.5823641505261,804.5823641505261,False
10-14 05:00,380.419,805.9316901084237,805.9316901084237,False
10-14 06:00,336.322,808.2206241208648,808.2206241208648,False
10-14 07:00,493.058,814.1591217077479,814.1591217077479,False
10-14 08:00,408.03,823.7139334087198,823.7139334087198,False
10-14 09:00,308.274,832.7042726143394,832.7042726143394,False
10-14 10:00,167.976,833.7385645509773,833.7385645509773,False
10-14 11:00,206.046,850.537,850.537,False
10-14 12:00,260.032,850.537,850.537,False
10-14 13:00,391.524,850.537,850.537,False
10-14 14:00,403.413,850.537,850.537,False
10-14 15:00,455.496,850.537,850.537,False
10-14 16:00,626.623,0.0,0.0,False
10-14 17:00,830.692,850.537,850.537,False
10-14 18:00,830.692,0.0,0.0,False
10-14 19:00,830.692,850.537,850.537,False
10-14 20:00,830.692,850.537,850.537,False
10-14 21:00,830.692,850.537,850.537,False
10-14 22:00,830.692,850.537,850.537,False
10-14 23:00,830.692,850.537,850.537,False
10-15 00:00,830.692,850.5370000000001,850.5370000000001,False
10-15 01:00,830.692,850.5370000000001,850.5370000000001,False
10-15 02:00,830.692,850.537,850.537,False
10-15 03:00,830.692,850.537,850.537,False
10-15 04:00,830.692,850.5370000000001,850.5370000000001,False
10-15 05:00,830.692,850.537,850.537,False
10-15 06:00,830.692,0.0,0.0,False
10-15 07:00,830.692,850.537,850.537,False
10-15 08:00,830.692,850.537,850.537,False
