Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-12 02:00,830.692,850.537,850.537,706534.281604,False
01-12 03:00,830.692,850.5369999999999,850.5369999999999,706534.2816039999,False
01-12 04:00,830.692,850.537,850.537,706534.281604,False
01-12 05:00,830.692,850.537,850.537,706534.281604,False
01-12 06:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-12 07:00,830.692,850.537,850.537,706534.281604,False
01-12 08:00,830.692,850.537,850.537,706534.281604,False
01-12 09:00,830.692,850.537,850.537,706534.281604,False
01-12 10:00,830.692,850.537,850.537,706534.281604,False
01-12 11:00,830.692,850.537,850.537,706534.281604,False
01-12 12:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-12 13:00,830.692,850.537,850.537,706534.281604,False
01-12 14:00,830.692,850.537,850.537,706534.281604,False
01-12 15:00,830.692,850.537,850.537,706534.281604,False
01-12 16:00,830.692,850.537,850.537,706534.281604,False
01-12 17:00,830.692,850.537,850.537,706534.281604,False
01-12 18:00,830.692,0.0,0.0,0.0,False
01-12 19:00,830.692,850.537,850.537,706534.281604,False
01-12 20:00,830.692,2277.021,0,921546.9428597162,False
01-12 21:00,830.692,850.537,850.537,706534.281604,False
01-12 22:00,830.692,850.537,850.537,706534.281604,False
01-12 23:00,830.692,850.537,850.537,706534.281604,False
01-13 00:00,830.692,850.537,850.537,706534.281604,False
01-13 01:00,830.692,850.537,850.537,706534.281604,False
01-13 02:00,830.692,850.537,850.537,706534.281604,False
01-13 03:00,830.692,850.537,850.537,706534.281604,False
01-13 04:00,830.692,850.537,850.537,706534.281604,False
01-13 05:00,830.692,850.537,850.537,706534.281604,False
01-13 06:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-13 07:00,710.466,0.0,0.0,0.0,False
01-13 08:00,715.67,671.1194031401794,671.1194031401794,480300.0232453322,False
01-13 09:00,649.223,850.537,850.537,552188.1827509999,False
01-13 10:00,751.803,850.537,850.537,639436.268211,False
01-13 11:00,251.734,850.537,850.537,214109.08115800002,False
01-13 12:00,502.516,850.537,850.537,427408.45109200006,False
01-13 13:00,830.692,850.537,850.537,706534.281604,False
01-13 14:00,714.4,850.537,850.537,607623.6328,False
01-13 15:00,750.668,850.5369999999999,850.5369999999999,638470.9087159999,False
01-13 16:00,830.692,850.537,850.537,706534.281604,False
01-13 17:00,830.692,850.537,850.537,706534.281604,False
01-13 18:00,830.692,713.4662250207934,713.4662250207934,592670.6853949729,False
01-13 19:00,830.692,850.537,850.537,706534.281604,False
01-13 20:00,830.692,850.537,850.537,706534.281604,False
